5.00 3.50
5.02 3.76
5.04 4.03
5.06 4.30
5.08 4.58
5.10 4.87
5.12 5.17
5.14 5.48
5.16 5.79
5.18 6.11
5.20 6.44
5.22 6.78
5.24 7.13
5.26 7.49
5.28 7.85
5.30 8.23
5.32 8.61
5.34 9.01
5.36 9.41
5.38 9.83
5.40 10.25
5.42 10.69
5.44 11.14
5.46 11.59
5.48 12.06
5.50 12.54
5.52 13.03
5.54 13.53
5.56 14.05
5.58 14.57
5.60 15.11
5.62 15.66
5.64 16.23
5.66 16.80
5.68 17.39
5.70 17.99
5.72 18.60
5.74 19.23
5.76 19.87
5.78 20.53
5.80 21.20
5.82 21.88
5.84 22.58
5.86 23.29
5.88 24.01
5.90 24.76
5.92 25.51
5.94 26.29
5.96 27.07
5.98 27.88
6.00 28.70
6.02 29.54
6.04 30.39
6.06 31.26
6.08 32.15
6.10 33.06
6.12 33.98
6.14 34.93
6.16 35.89
6.18 36.87
6.20 37.87
6.22 38.89
6.24 39.93
6.26 40.99
6.28 42.07
6.30 43.18
6.32 44.30
6.34 45.45
6.36 46.62
6.38 47.81
6.40 49.03
6.42 50.27
6.44 51.54
6.46 52.83
6.48 54.15
6.50 55.50
6.52 56.87
6.54 58.27
6.56 59.69
6.58 61.15
6.60 62.63
6.62 64.15
6.64 65.70
6.66 67.27
6.68 68.88
6.70 70.53
6.72 72.20
6.74 73.91
6.76 75.66
6.78 77.44
6.80 79.26
6.82 81.12
6.84 83.01
6.86 84.95
6.88 86.92
6.90 88.93
6.92 90.99
6.94 93.09
6.96 95.23
6.98 97.42
7.00 99.65
7.02 101.93
